"phenotype","description","icd10_only","groupnum","group","color"
"ID_023","Vibrio",0,1,"Infections","#FF0000"
"ID_024","Pertussis",0,1,"Infections","#FF0000"
"ID_025","Enterococcus",0,1,"Infections","#FF0000"
"ID_026","Actinomyces and Nocardia",0,1,"Infections","#FF0000"
"ID_027","Shigella",0,1,"Infections","#FF0000"
"ID_028","Bacillus",0,1,"Infections","#FF0000"
"ID_029","Leptospira",0,1,"Infections","#FF0000"
"ID_030","Campylobacter",0,1,"Infections","#FF0000"
"ID_031","Listeria",0,1,"Infections","#FF0000"
"ID_032","Yersinia",0,1,"Infections","#FF0000"
"ID_033","Francisella",0,1,"Infections","#FF0000"
"ID_034","Brucella",0,1,"Infections","#FF0000"
"ID_035","Burkholderia",0,1,"Infections","#FF0000"
"ID_036","Spirillum",0,1,"Infections","#FF0000"
"ID_037","Streptobacillus",0,1,"Infections","#FF0000"
"ID_038","Erysipelothrix",0,1,"Infections","#FF0000"
"ID_039","Pasteurella",0,1,"Infections","#FF0000"
"ID_040","Legionella",0,1,"Infections","#FF0000"
"ID_041","Coxiella",0,1,"Infections","#FF0000"
"ID_042","Tropheryma",0,1,"Infections","#FF0000"
"ID_050","Enterovirus",0,1,"Infections","#FF0000"
"ID_050.1","Poliovirus",0,1,"Infections","#FF0000"
"ID_050.2","Coxsackie virus",0,1,"Infections","#FF0000"
"ID_050.3","ECHO virus",0,1,"Infections","#FF0000"
"ID_050.4","Hand, foot, and mouth disease",0,1,"Infections","#FF0000"
"ID_050.5","Enteroviral vesicular pharyngitis",0,1,"Infections","#FF0000"
"ID_050.6","Rhinovirus",0,1,"Infections","#FF0000"
"ID_052","Herpesvirus",0,1,"Infections","#FF0000"
"ID_052.1","Herpes simplex",0,1,"Infections","#FF0000"
"ID_052.3","Varicella zoster virus",0,1,"Infections","#FF0000"
"ID_052.31","Varicella [chickenpox]",0,1,"Infections","#FF0000"
"ID_052.32","Herpes zoster",0,1,"Infections","#FF0000"
"ID_052.4","Infectious mononucleosis",0,1,"Infections","#FF0000"
"ID_052.5","Cytomegalovirus [CMV]",0,1,"Infections","#FF0000"
"ID_052.6","Human herpesvirus 6",0,1,"Infections","#FF0000"
"ID_052.7","Human herpesvirus 7",0,1,"Infections","#FF0000"
"ID_053","Parvovirus",0,1,"Infections","#FF0000"
"ID_054","Hepatovirus",0,1,"Infections","#FF0000"
"ID_054.1","Hepatitis A",0,1,"Infections","#FF0000"
"ID_054.2","Hepatitis B",0,1,"Infections","#FF0000"
"ID_054.21","Hepatitis B with delta",0,1,"Infections","#FF0000"
"ID_054.3","Hepatitis C",0,1,"Infections","#FF0000"
"ID_054.31","Chronic hepatitis C",0,1,"Infections","#FF0000"
"ID_054.32","Acute hepatitis C",0,1,"Infections","#FF0000"
"ID_054.5","Hepatitis E",0,1,"Infections","#FF0000"
"ID_055","Poxvirus",0,1,"Infections","#FF0000"
"ID_055.1","Molluscum contagiosum",0,1,"Infections","#FF0000"
"ID_056","Human papillomavirus",0,1,"Infections","#FF0000"
"ID_056.1","Plantar wart",0,1,"Infections","#FF0000"
"ID_056.2","Anogenital (venereal) warts",0,1,"Infections","#FF0000"
"ID_057","Retrovirus",0,1,"Infections","#FF0000"
"ID_057.1","Human immunodeficiency virus",0,1,"Infections","#FF0000"
"ID_057.2","Human T-cell lymphotropic virus type 1*",1,1,"Infections","#FF0000"
"ID_058","Pneumoviridae",0,1,"Infections","#FF0000"
"ID_058.1","Respiratory syncytial virus",0,1,"Infections","#FF0000"
"ID_058.2","Human metapneumovirus*",1,1,"Infections","#FF0000"
"ID_059","Coronavirus",0,1,"Infections","#FF0000"
"ID_059.1","Sars-CoV-2*",1,1,"Infections","#FF0000"
"ID_060","Adenovirus",0,1,"Infections","#FF0000"
"ID_061","Influenza virus",0,1,"Infections","#FF0000"
"ID_061.1","Influenza A virus",0,1,"Infections","#FF0000"
"ID_062","Parainfluenza virus",0,1,"Infections","#FF0000"
"ID_063","Rotavirus",0,1,"Infections","#FF0000"
"ID_064","Norovirus",0,1,"Infections","#FF0000"
"ID_065","Measles virus",0,1,"Infections","#FF0000"
"ID_066","Orthorubulavirus [Mumps]",0,1,"Infections","#FF0000"
"ID_067","Rubella",0,1,"Infections","#FF0000"
"ID_068","Dengue virus",0,1,"Infections","#FF0000"
"ID_068.1","Dengue hemorrhagic fever*",1,1,"Infections","#FF0000"
"ID_069","Other specified viral infections",0,1,"Infections","#FF0000"
"ID_070","Candidiasis",0,1,"Infections","#FF0000"
"ID_070.4","Disseminated candidiasis",0,1,"Infections","#FF0000"
"ID_071","Coccidioides",0,1,"Infections","#FF0000"
"ID_072","Histoplasmosis",0,1,"Infections","#FF0000"
"ID_073","Blastomyces",0,1,"Infections","#FF0000"
"ID_074","Aspergillosis",0,1,"Infections","#FF0000"
"ID_075","Cryptococcosis",0,1,"Infections","#FF0000"
"ID_076","Pneumocystosis",0,1,"Infections","#FF0000"
"ID_078","Zygomycosis",0,1,"Infections","#FF0000"
"ID_079","Other specified fungal infections",0,1,"Infections","#FF0000"
"ID_084","Parasites",0,1,"Infections","#FF0000"
"ID_084.1","Amebiasis",0,1,"Infections","#FF0000"
"ID_084.2","Plasmodium [Malaria]",0,1,"Infections","#FF0000"
"ID_084.3","Leishmaniasis [Leishmania]",0,1,"Infections","#FF0000"
"ID_084.31","Visceral leishmaniasis",0,1,"Infections","#FF0000"
"ID_084.32","Cutaneous leishmaniasis",0,1,"Infections","#FF0000"
"ID_084.4","Trichomoniasis",0,1,"Infections","#FF0000"
"ID_084.5","Toxoplasmosis",0,1,"Infections","#FF0000"
"ID_084.6","Enterobiasis",0,1,"Infections","#FF0000"
"ID_084.7","Giardiasis",0,1,"Infections","#FF0000"
"ID_084.8","Cryptosporidiosis",0,1,"Infections","#FF0000"
"ID_086","Pediculosis, acariasis and other infestations",0,1,"Infections","#FF0000"
"ID_086.1","Pediculosis",0,1,"Infections","#FF0000"
"ID_086.2","Scabies",0,1,"Infections","#FF0000"
"ID_087","Infectious prions",0,1,"Infections","#FF0000"
"ID_088","Sexually transmitted disease",0,1,"Infections","#FF0000"
"ID_089","Infections",0,1,"Infections","#FF0000"
"ID_089.1","Bacterial infections",0,1,"Infections","#FF0000"
"ID_089.2","Viral infections",0,1,"Infections","#FF0000"
"ID_089.3","Fungal infections",0,1,"Infections","#FF0000"
"ID_091","Gangrene",0,1,"Infections","#FF0000"
"ID_092","Bacteremia, Sepsis, and SIRS",0,1,"Infections","#FF0000"
"ID_092.1","Systemic inflammatory response syndrome",0,1,"Infections","#FF0000"
"ID_092.2","Sepsis",0,1,"Infections","#FF0000"
"ID_092.3","Meningococcemia",0,1,"Infections","#FF0000"
"ID_092.5","Toxic shock syndrome",0,1,"Infections","#FF0000"
"ID_092.8","Bacteremia",0,1,"Infections","#FF0000"
"ID_097","Drug resistant microorganisms",0,1,"Infections","#FF0000"
"ID_097.1","Methicillin resistant Staphylococcus aureus",0,1,"Infections","#FF0000"
"ID_097.2","Resistance to penicillins",0,1,"Infections","#FF0000"
"ID_097.3","Resistance to beta lactam antibiotics",0,1,"Infections","#FF0000"
"CA_100","Malignant neoplasm of the head and neck",0,2,"Neoplasms","#FFA500"
"CA_100.1","Malignant neoplasm of the oral cavity",0,2,"Neoplasms","#FFA500"
"CA_100.12","Malignant neoplasm of the tongue",0,2,"Neoplasms","#FFA500"
"CA_100.13","Malignant neoplasm of the gums",0,2,"Neoplasms","#FFA500"
"CA_100.14","Malignant neoplasm of the floor of mouth",0,2,"Neoplasms","#FFA500"
"CA_100.15","Malignant neoplasm of the palate",0,2,"Neoplasms","#FFA500"
"CA_100.2","Malignant neoplasm of the oropharynx",0,2,"Neoplasms","#FFA500"
"CA_100.3","Malignant neoplasm of the nasopharynx",0,2,"Neoplasms","#FFA500"
"CA_100.4","Malignant neoplasm of the hypopharynx",0,2,"Neoplasms","#FFA500"
"CA_100.5","Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",0,2,"Neoplasms","#FFA500"
"CA_100.6","Malignant neoplasm of the larynx",0,2,"Neoplasms","#FFA500"
"CA_100.7","Malignant neoplasm of the pharynx",0,2,"Neoplasms","#FFA500"
"CA_100.8","Malignant neoplasm of the lip",0,2,"Neoplasms","#FFA500"
"CA_100.9","Malignant neoplasm of the salivary glands",0,2,"Neoplasms","#FFA500"
"CA_101","Malignant neoplasm of the digestive organs",0,2,"Neoplasms","#FFA500"
"CA_101.1","Malignant neoplasm of the esophagus",0,2,"Neoplasms","#FFA500"
"CA_101.2","Malignant neoplasm of stomach",0,2,"Neoplasms","#FFA500"
"CA_101.21","Malignant neoplasm of cardia",0,2,"Neoplasms","#FFA500"
"CA_101.3","Malignant neoplasm of the small intestine",0,2,"Neoplasms","#FFA500"
"CA_101.4","Malignant neoplasm of the lower GI tract",0,2,"Neoplasms","#FFA500"
"CA_101.41","Colorectal cancer",0,2,"Neoplasms","#FFA500"
"CA_101.411","Malignant neoplasm of colon",0,2,"Neoplasms","#FFA500"
"CA_101.412","Malignant neoplasm of appendix",0,2,"Neoplasms","#FFA500"
"CA_101.42","Malignant neoplasm of anus",0,2,"Neoplasms","#FFA500"
"CA_101.6","Malignant neoplasm of the liver and intrahepatic bile ducts",0,2,"Neoplasms","#FFA500"
"CA_101.61","Malignant neoplasm of the liver",0,2,"Neoplasms","#FFA500"
"CA_101.62","Malignant neoplasm of the intrahepatic bile ducts",0,2,"Neoplasms","#FFA500"
"CA_101.7","Malignant neoplasm of the gallbladder and extrahepatic bile ducts",0,2,"Neoplasms","#FFA500"
"CA_101.71","Malignant neoplasm of the gallbladder",0,2,"Neoplasms","#FFA500"
"CA_101.8","Malignant neoplasm of the pancreas",0,2,"Neoplasms","#FFA500"
"CA_102","Malignant neoplasm of the thoracic and respiratory organs",0,2,"Neoplasms","#FFA500"
"CA_102.1","Malignant neoplasm of the of bronchus and lung",0,2,"Neoplasms","#FFA500"
"CA_102.3","Malignant neoplasm of the trachea",0,2,"Neoplasms","#FFA500"
"CA_102.5","Malignant neoplasm of the heart, mediastinum, thymus, and pleura",0,2,"Neoplasms","#FFA500"
"CA_102.51","Malignant neoplasm of the heart",0,2,"Neoplasms","#FFA500"
"CA_102.52","Malignant neoplasm of the mediastinum",0,2,"Neoplasms","#FFA500"
"CA_102.53","Malignant neoplasm of the of pleura",0,2,"Neoplasms","#FFA500"
"CA_102.54","Malignant neoplasm of the thymus",0,2,"Neoplasms","#FFA500"
"CA_103","Malignant neoplasm of the skin",0,2,"Neoplasms","#FFA500"
"CA_103.1","Melanomas of skin",0,2,"Neoplasms","#FFA500"
"CA_103.2","Keratinocyte carcinoma",0,2,"Neoplasms","#FFA500"
"CA_103.21","Basal cell carcinoma",0,2,"Neoplasms","#FFA500"
"CA_103.22","Squamous cell carcinoma of the skin",0,2,"Neoplasms","#FFA500"
"CA_103.3","Carcinoma in situ of skin",0,2,"Neoplasms","#FFA500"
"CA_104","Malignant sarcoma-related cancers",0,2,"Neoplasms","#FFA500"
"CA_104.1","Malignant neoplam of the bone and/or cartilage",0,2,"Neoplasms","#FFA500"
"CA_104.2","Malignant neoplasm of retroperitoneum and peritoneum",0,2,"Neoplasms","#FFA500"
"CA_104.3","Malignant neoplasm of connective and soft tissue",0,2,"Neoplasms","#FFA500"
"CA_104.4","Malignant neoplasm of peripheral nerves*",1,2,"Neoplasms","#FFA500"
"CA_104.5","Gastrointestinal stromal tumor*",1,2,"Neoplasms","#FFA500"
"CA_104.6","Kaposi's sarcoma",0,2,"Neoplasms","#FFA500"
"CA_105","Malignant neoplasm of the breast",0,2,"Neoplasms","#FFA500"
"CA_105.1","Malignant neoplasm of the breast, female",0,2,"Neoplasms","#FFA500"
"CA_105.2","Malignant neoplasm of the breast, male",0,2,"Neoplasms","#FFA500"
"CA_106","Gynecological malignant neoplasms",0,2,"Neoplasms","#FFA500"
"CA_106.1","Malignant neoplasm of external female genital organs and cervix",0,2,"Neoplasms","#FFA500"
"CA_106.11","Malignant neoplasm of the vulva",0,2,"Neoplasms","#FFA500"
"CA_106.12","Malignant neoplasm of the vagina",0,2,"Neoplasms","#FFA500"
"CA_106.13","Malignant neoplasm of the cervix",0,2,"Neoplasms","#FFA500"
"CA_106.2","Malignant neoplasm of the uterus",0,2,"Neoplasms","#FFA500"
"CA_106.21","Malignant neoplasm of endometrium",0,2,"Neoplasms","#FFA500"
"CA_106.3","Malignant neoplasm of the ovary",0,2,"Neoplasms","#FFA500"
"CA_106.4","Malignant neoplasm of the fallopian tube and uterine adnexa",0,2,"Neoplasms","#FFA500"
"CA_106.6","Malignant neoplasm of the placenta",0,2,"Neoplasms","#FFA500"
"CA_107","Malignant neoplasm of male genitalia",0,2,"Neoplasms","#FFA500"
"CA_107.1","Malignant neoplasm of the penis",0,2,"Neoplasms","#FFA500"
"CA_107.2","Malignant neoplasm of the prostate",0,2,"Neoplasms","#FFA500"
"CA_107.3","Malignant neoplasm of the testis",0,2,"Neoplasms","#FFA500"
"CA_107.4","Malignant neoplasm of epididymis",0,2,"Neoplasms","#FFA500"
"CA_107.5","Malignant neoplasm of spermatic cord",0,2,"Neoplasms","#FFA500"
"CA_107.6","Malignant neoplasm of the scrotum",0,2,"Neoplasms","#FFA500"
"CA_108","Malignant neoplasm of the urinary tract",0,2,"Neoplasms","#FFA500"
"CA_108.4","Malignant neoplasm of the kidney",0,2,"Neoplasms","#FFA500"
"CA_108.41","Malignant neoplasm of kidney, except pelvis",0,2,"Neoplasms","#FFA500"
"CA_108.42","Malignant neoplasm of renal pelvis",0,2,"Neoplasms","#FFA500"
"CA_108.5","Malignant neoplasm of the bladder",0,2,"Neoplasms","#FFA500"
"CA_108.6","Malignant neoplasm of urethra",0,2,"Neoplasms","#FFA500"
"CA_108.7","Malignant neoplasm of ureter",0,2,"Neoplasms","#FFA500"
"CA_109","Malignant neoplasm of the eye, brain and other parts of central nervous system",0,2,"Neoplasms","#FFA500"
"CA_109.1","Malignant neoplasm of eye",0,2,"Neoplasms","#FFA500"
"CA_109.11","Malignant neoplasm of orbit",0,2,"Neoplasms","#FFA500"
"CA_109.12","Malignant neoplasm of lacrimal gland and duct",0,2,"Neoplasms","#FFA500"
"CA_109.13","Malignant neoplasm of conjunctiva",0,2,"Neoplasms","#FFA500"
"CA_109.14","Malignant neoplasm of cornea",0,2,"Neoplasms","#FFA500"
"CA_109.15","Malignant neoplasm of retina",0,2,"Neoplasms","#FFA500"
"CA_109.16","Malignant neoplasm of choroid",0,2,"Neoplasms","#FFA500"
"CA_109.2","Malignant neoplasm of meninges",0,2,"Neoplasms","#FFA500"
"CA_109.3","Malignant neoplasm of brain",0,2,"Neoplasms","#FFA500"
"CA_109.4","Malignant neoplasm of spinal cord",0,2,"Neoplasms","#FFA500"
"CA_109.5","Malignant neoplasm of cranial nerve",0,2,"Neoplasms","#FFA500"
"CA_110","Malignant neoplasm of the endocrine glands",0,2,"Neoplasms","#FFA500"
"CA_110.1","Malignant neoplasm of the thyroid",0,2,"Neoplasms","#FFA500"
"CA_110.3","Malignant neoplasm of the parathyroid gland",0,2,"Neoplasms","#FFA500"
"CA_110.4","Malignant neoplasm of the pituitary gland and craniopharyngeal duct",0,2,"Neoplasms","#FFA500"
"CA_110.5","Malignant neoplasm of the pineal gland",0,2,"Neoplasms","#FFA500"
"CA_112","Malignant neoplasm of other and ill-defined sites",0,2,"Neoplasms","#FFA500"
"CA_112.1","Mesothelioma*",1,2,"Neoplasms","#FFA500"
"CA_114","Neuroendocrine tumors",0,2,"Neoplasms","#FFA500"
"CA_114.1","Malignant neuroendocrine tumors",0,2,"Neoplasms","#FFA500"
"CA_114.11","Exocrine pancreatic cancer",0,2,"Neoplasms","#FFA500"
"CA_114.12","Merkel cell carcinoma",0,2,"Neoplasms","#FFA500"
"CA_114.2","Benign neuroendocrine tumors",0,2,"Neoplasms","#FFA500"
"CA_114.4","Carcinoid tumors",0,2,"Neoplasms","#FFA500"
"CA_114.41","Intestinal carcinoid",0,2,"Neoplasms","#FFA500"
"CA_114.42","Carcinoid tumor of the bronchus and lung",0,2,"Neoplasms","#FFA500"
"CA_114.43","Carcinoid tumor of the thymus",0,2,"Neoplasms","#FFA500"
"CA_114.44","Carcinoid tumor of the stomach",0,2,"Neoplasms","#FFA500"
"CA_114.45","Carcinoid tumor of the kidney",0,2,"Neoplasms","#FFA500"
"CA_114.5","Paraganglioma",0,2,"Neoplasms","#FFA500"
"CA_114.6","Pheochromocytoma",0,2,"Neoplasms","#FFA500"
"CA_116","Secondary malignant neoplasm",0,2,"Neoplasms","#FFA500"
"CA_120","Hemo onc - by cell of origin",0,2,"Neoplasms","#FFA500"
"CA_120.1","Myeloid",0,2,"Neoplasms","#FFA500"
"CA_120.11","Plasma cell",0,2,"Neoplasms","#FFA500"
"CA_120.12","Monocyte",0,2,"Neoplasms","#FFA500"
"CA_120.13","Erythroid",0,2,"Neoplasms","#FFA500"
"CA_120.14","Megakaryoblast",0,2,"Neoplasms","#FFA500"
"CA_120.15","Mast cell",0,2,"Neoplasms","#FFA500"
"CA_120.2","Lymphoid",0,2,"Neoplasms","#FFA500"
"CA_120.21","Mature B-cell",0,2,"Neoplasms","#FFA500"
"CA_120.22","Mature T-Cell",0,2,"Neoplasms","#FFA500"
"CA_120.3","Histocytoces",0,2,"Neoplasms","#FFA500"
"CA_121","Leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.1","Acute leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.11","Acute lymphoid leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.12","Acute myeloid leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.2","Chronic leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.21","Chronic lymphoid leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.22","Chronic myloid leukemia",0,2,"Neoplasms","#FFA500"
"CA_121.23","Chronic myelomonocytic (monocytic) leukemia",0,2,"Neoplasms","#FFA500"
"CA_122","Lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.1","Hodgkin lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.11","Nodular sclerosis Hodgkin lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.2","Non-Hodgkin lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.21","Follicular lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.22","Diffuse large B-cell lymphoma*",1,2,"Neoplasms","#FFA500"
"CA_122.23","Burkitt lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.24","T-cell lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.25","Anaplastic large cell lymphoma",0,2,"Neoplasms","#FFA500"
"CA_122.26","Extranodal NK/T-cell lymphoma, nasal type*",1,2,"Neoplasms","#FFA500"
"CA_123","Multiple myeloma and malignant plasma cell neoplasms",0,2,"Neoplasms","#FFA500"
"CA_123.1","Multiple myeloma",0,2,"Neoplasms","#FFA500"
"CA_124","Myeloproliferative disorder",0,2,"Neoplasms","#FFA500"
"CA_124.3","Polycythemia vera",0,2,"Neoplasms","#FFA500"
"CA_124.5","Essential thrombocythemia",0,2,"Neoplasms","#FFA500"
"CA_124.6","Myelodysplastic syndrome",0,2,"Neoplasms","#FFA500"
"CA_124.7","Chronic myeloproliferative disease*",1,2,"Neoplasms","#FFA500"
"CA_124.8","Myelofibrosis",0,2,"Neoplasms","#FFA500"
"CA_125","Other malignant neoplasms of lymphoid, hematopoietic and related tissue",0,2,"Neoplasms","#FFA500"
"CA_125.1","Cutaneous mastocytosis*",1,2,"Neoplasms","#FFA500"
"CA_128","Estrogen receptor status",0,2,"Neoplasms","#FFA500"
"CA_128.1","Estrogen receptor postitive status [ER+]",0,2,"Neoplasms","#FFA500"
"CA_128.2","Estrogen receptor negative status [ER-]",0,2,"Neoplasms","#FFA500"
"CA_130","Cancer (solid tumor, excluding BCC)",0,2,"Neoplasms","#FFA500"
"CA_132","Sequelae of cancer",0,2,"Neoplasms","#FFA500"
"CA_135","Benign neoplasm of the head and neck",0,2,"Neoplasms","#FFA500"
"CA_135.1","Benign neoplasm of the oral cavity",0,2,"Neoplasms","#FFA500"
"CA_135.11","Benign neoplasm of the lip",0,2,"Neoplasms","#FFA500"
"CA_135.12","Benign neoplasm of the tongue",0,2,"Neoplasms","#FFA500"
"CA_135.14","Benign neoplasm of the floor of mouth",0,2,"Neoplasms","#FFA500"
"CA_135.16","Benign neoplasm of the salivary glands",0,2,"Neoplasms","#FFA500"
"CA_135.2","Benign neoplasm of the oropharynx",0,2,"Neoplasms","#FFA500"
"CA_135.3","Benign neoplasm of the nasopharynx",0,2,"Neoplasms","#FFA500"
"CA_135.4","Benign neoplasm of the hypopharynx",0,2,"Neoplasms","#FFA500"
"CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity",0,2,"Neoplasms","#FFA500"
"CA_135.6","Benign neoplasm of vocal cord or larynx",0,2,"Neoplasms","#FFA500"
"CA_136","Benign neoplasm of the digestive organs",0,2,"Neoplasms","#FFA500"
"CA_136.1","Benign neoplasm of the esophagus",0,2,"Neoplasms","#FFA500"
"CA_136.2","Benign neoplasm of stomach",0,2,"Neoplasms","#FFA500"
"CA_136.3","Benign neoplasm of the small intestine",0,2,"Neoplasms","#FFA500"
"CA_136.4","Benign neoplasm of colon, rectum, anus and anal canal",0,2,"Neoplasms","#FFA500"
"CA_136.41","Benign neoplasm of the colon",0,2,"Neoplasms","#FFA500"
"CA_136.42","Benign neoplasm of rectum and anus",0,2,"Neoplasms","#FFA500"
"CA_136.6","Benign neoplasm of the liver and intrahepatic bile ducts",0,2,"Neoplasms","#FFA500"
"CA_136.61","Benign neoplasm of the liver*",1,2,"Neoplasms","#FFA500"
"CA_136.8","Benign neoplasm of the pancreas",0,2,"Neoplasms","#FFA500"
"CA_137","Benign neoplasm of the thoracic and respiratory organs",0,2,"Neoplasms","#FFA500"
"CA_137.1","Benign neoplasm of the of bronchus and lung",0,2,"Neoplasms","#FFA500"
"CA_137.3","Benign neoplasm of the trachea",0,2,"Neoplasms","#FFA500"
"CA_137.5","Benign neoplasm of the heart, mediastinum, thymus, and pleura",0,2,"Neoplasms","#FFA500"
"CA_137.51","Benign neoplasm of the heart",0,2,"Neoplasms","#FFA500"
"CA_137.52","Benign neoplasm of the mediastinum",0,2,"Neoplasms","#FFA500"
"CA_137.53","Benign neoplasm of the of pleura",0,2,"Neoplasms","#FFA500"
"CA_137.54","Benign neoplasm of the thymus",0,2,"Neoplasms","#FFA500"
"CA_138","Benign neoplasm of the skin",0,2,"Neoplasms","#FFA500"
"CA_138.1","Nevus, non-neoplastic",0,2,"Neoplasms","#FFA500"
"CA_138.2","Melanocytic nevi*",1,2,"Neoplasms","#FFA500"
"CA_139","Benign sarcoma-related cancers",0,2,"Neoplasms","#FFA500"
"CA_139.1","Benign neoplams of the bone and/or cartilage",0,2,"Neoplasms","#FFA500"
"CA_139.2","Benign neoplasm of retroperitoneum and peritoneum",0,2,"Neoplasms","#FFA500"
"CA_139.3","Benign neoplasm of other connective and soft tissue",0,2,"Neoplasms","#FFA500"
"CA_139.4","Benign neoplasm of peripheral nerves*",1,2,"Neoplasms","#FFA500"
"CA_139.5","Lipoma",0,2,"Neoplasms","#FFA500"
"CA_139.51","Lipomatosis*",1,2,"Neoplasms","#FFA500"
"CA_139.52","Lipoma of intrathoracic organs",0,2,"Neoplasms","#FFA500"
"CA_139.53","Lipoma of skin subcutaneous tissue",0,2,"Neoplasms","#FFA500"
"CA_139.54","Testicular limpoma",0,2,"Neoplasms","#FFA500"
"CA_139.6","Hemangioma and lymphangioma",0,2,"Neoplasms","#FFA500"
"CA_139.61","Hemangioma",0,2,"Neoplasms","#FFA500"
"CA_139.62","Lymphangioma",0,2,"Neoplasms","#FFA500"
"CA_140","Benign neoplasm of the breast",0,2,"Neoplasms","#FFA500"
"CA_142","Lump or mass in breast or nonspecific abnormal breast exam",0,2,"Neoplasms","#FFA500"
"CA_142.1","Lump or mass in breast",0,2,"Neoplasms","#FFA500"
"CA_142.2","Abnormal mammogram",0,2,"Neoplasms","#FFA500"
"CA_142.21","Mammographic microcalcification",0,2,"Neoplasms","#FFA500"
"CA_144","Gynecological benign neoplasms",0,2,"Neoplasms","#FFA500"
"CA_144.1","Benign neoplasms of external female genital organs and cervix",0,2,"Neoplasms","#FFA500"
"CA_144.11","Benign neoplasms of the vulva",0,2,"Neoplasms","#FFA500"
"CA_144.12","Benign neoplasms of the vagina",0,2,"Neoplasms","#FFA500"
"CA_144.13","Benign neoplasms of the cervix",0,2,"Neoplasms","#FFA500"
"CA_144.2","Benign neoplasms of the uterus",0,2,"Neoplasms","#FFA500"
"CA_144.21","Leiomyoma of uterus",0,2,"Neoplasms","#FFA500"
"CA_144.3","Benign neoplasms of the ovary",0,2,"Neoplasms","#FFA500"
