"phecode","phecode_string","category_num","category","sex","icd10_only","leaf","phecode_num"
"ID_020.1","Lyme disease","01","Infections","Both",0,1,"020.1"
"ID_021","Rickettsia","01","Infections","Both",0,0,"021"
"ID_021.2","Spotted fever","01","Infections","Both",0,1,"021.2"
"ID_022","Ehrlichiosis","01","Infections","Both",0,1,"022"
"ID_023","Vibrio","01","Infections","Both",0,1,"023"
"ID_024","Pertussis","01","Infections","Both",0,1,"024"
"ID_025","Enterococcus","01","Infections","Both",0,1,"025"
"ID_026","Actinomyces and Nocardia","01","Infections","Both",0,1,"026"
"ID_027","Shigella","01","Infections","Both",0,1,"027"
"ID_028","Bacillus","01","Infections","Both",0,1,"028"
"ID_029","Leptospira","01","Infections","Both",0,1,"029"
"ID_030","Campylobacter","01","Infections","Both",0,1,"030"
"ID_031","Listeria","01","Infections","Both",0,1,"031"
"ID_032","Yersinia","01","Infections","Both",0,1,"032"
"ID_033","Francisella","01","Infections","Both",0,1,"033"
"ID_034","Brucella","01","Infections","Both",0,1,"034"
"ID_035","Burkholderia","01","Infections","Both",0,1,"035"
"ID_036","Spirillum","01","Infections","Both",0,1,"036"
"ID_037","Streptobacillus","01","Infections","Both",0,1,"037"
"ID_038","Erysipelothrix","01","Infections","Both",0,1,"038"
"ID_039","Pasteurella","01","Infections","Both",0,1,"039"
"ID_040","Legionella","01","Infections","Both",0,1,"040"
"ID_041","Coxiella","01","Infections","Both",0,1,"041"
"ID_042","Tropheryma","01","Infections","Both",0,1,"042"
"ID_050","Enterovirus","01","Infections","Both",0,0,"050"
"ID_050.1","Poliovirus","01","Infections","Both",0,1,"050.1"
"ID_050.2","Coxsackie virus","01","Infections","Both",0,1,"050.2"
"ID_050.3","ECHO virus","01","Infections","Both",0,1,"050.3"
"ID_050.4","Hand, foot, and mouth disease","01","Infections","Both",0,1,"050.4"
"ID_050.5","Enteroviral vesicular pharyngitis","01","Infections","Both",0,1,"050.5"
"ID_050.6","Rhinovirus","01","Infections","Both",0,1,"050.6"
"ID_052","Herpesvirus","01","Infections","Both",0,0,"052"
"ID_052.1","Herpes simplex","01","Infections","Both",0,1,"052.1"
"ID_052.3","Varicella zoster virus","01","Infections","Both",0,0,"052.3"
"ID_052.31","Varicella [chickenpox]","01","Infections","Both",0,1,"052.31"
"ID_052.32","Herpes zoster","01","Infections","Both",0,1,"052.32"
"ID_052.4","Infectious mononucleosis","01","Infections","Both",0,1,"052.4"
"ID_052.5","Cytomegalovirus [CMV]","01","Infections","Both",0,1,"052.5"
"ID_052.6","Human herpesvirus 6","01","Infections","Both",0,1,"052.6"
"ID_052.7","Human herpesvirus 7","01","Infections","Both",0,1,"052.7"
"ID_053","Parvovirus","01","Infections","Both",0,1,"053"
"ID_054","Hepatovirus","01","Infections","Both",0,0,"054"
"ID_054.1","Hepatitis A","01","Infections","Both",0,1,"054.1"
"ID_054.2","Hepatitis B","01","Infections","Both",0,0,"054.2"
"ID_054.21","Hepatitis B with delta","01","Infections","Both",0,1,"054.21"
"ID_054.3","Hepatitis C","01","Infections","Both",0,0,"054.3"
"ID_054.31","Chronic hepatitis C","01","Infections","Both",0,1,"054.31"
"ID_054.32","Acute hepatitis C","01","Infections","Both",0,1,"054.32"
"ID_054.5","Hepatitis E","01","Infections","Both",0,1,"054.5"
"ID_055","Poxvirus","01","Infections","Both",0,0,"055"
"ID_055.1","Molluscum contagiosum","01","Infections","Both",0,1,"055.1"
"ID_056","Human papillomavirus","01","Infections","Both",0,0,"056"
"ID_056.1","Plantar wart","01","Infections","Both",0,1,"056.1"
"ID_056.2","Anogenital (venereal) warts","01","Infections","Both",0,1,"056.2"
"ID_057","Retrovirus","01","Infections","Both",0,0,"057"
"ID_057.1","Human immunodeficiency virus","01","Infections","Both",0,1,"057.1"
"ID_057.2","Human T-cell lymphotropic virus type 1*","01","Infections","Both",1,1,"057.2"
"ID_058","Pneumoviridae","01","Infections","Both",0,0,"058"
"ID_058.1","Respiratory syncytial virus","01","Infections","Both",0,1,"058.1"
"ID_058.2","Human metapneumovirus*","01","Infections","Both",1,1,"058.2"
"ID_059","Coronavirus","01","Infections","Both",0,0,"059"
"ID_059.1","Sars-CoV-2*","01","Infections","Both",1,1,"059.1"
"ID_060","Adenovirus","01","Infections","Both",0,1,"060"
"ID_061","Influenza virus","01","Infections","Both",0,0,"061"
"ID_061.1","Influenza A virus","01","Infections","Both",0,1,"061.1"
"ID_062","Parainfluenza virus","01","Infections","Both",0,1,"062"
"ID_063","Rotavirus","01","Infections","Both",0,1,"063"
"ID_064","Norovirus","01","Infections","Both",0,1,"064"
"ID_065","Measles virus","01","Infections","Both",0,1,"065"
"ID_066","Orthorubulavirus [Mumps]","01","Infections","Both",0,1,"066"
"ID_067","Rubella","01","Infections","Both",0,1,"067"
"ID_068","Dengue virus","01","Infections","Both",0,0,"068"
"ID_068.1","Dengue hemorrhagic fever*","01","Infections","Both",1,1,"068.1"
"ID_069","Other specified viral infections","01","Infections","Both",0,1,"069"
"ID_070","Candidiasis","01","Infections","Both",0,0,"070"
"ID_070.4","Disseminated candidiasis","01","Infections","Both",0,1,"070.4"
"ID_071","Coccidioides","01","Infections","Both",0,1,"071"
"ID_072","Histoplasmosis","01","Infections","Both",0,1,"072"
"ID_073","Blastomyces","01","Infections","Both",0,1,"073"
"ID_074","Aspergillosis","01","Infections","Both",0,1,"074"
"ID_075","Cryptococcosis","01","Infections","Both",0,1,"075"
"ID_076","Pneumocystosis","01","Infections","Both",0,1,"076"
"ID_078","Zygomycosis","01","Infections","Both",0,1,"078"
"ID_079","Other specified fungal infections","01","Infections","Both",0,1,"079"
"ID_084","Parasites","01","Infections","Both",0,0,"084"
"ID_084.1","Amebiasis","01","Infections","Both",0,1,"084.1"
"ID_084.2","Plasmodium [Malaria]","01","Infections","Both",0,1,"084.2"
"ID_084.3","Leishmaniasis [Leishmania]","01","Infections","Both",0,0,"084.3"
"ID_084.31","Visceral leishmaniasis","01","Infections","Both",0,1,"084.31"
"ID_084.32","Cutaneous leishmaniasis","01","Infections","Both",0,1,"084.32"
"ID_084.4","Trichomoniasis","01","Infections","Both",0,1,"084.4"
"ID_084.5","Toxoplasmosis","01","Infections","Both",0,1,"084.5"
"ID_084.6","Enterobiasis","01","Infections","Both",0,1,"084.6"
"ID_084.7","Giardiasis","01","Infections","Both",0,1,"084.7"
"ID_084.8","Cryptosporidiosis","01","Infections","Both",0,1,"084.8"
"ID_086","Pediculosis, acariasis and other infestations","01","Infections","Both",0,0,"086"
"ID_086.1","Pediculosis","01","Infections","Both",0,1,"086.1"
"ID_086.2","Scabies","01","Infections","Both",0,1,"086.2"
"ID_087","Infectious prions","01","Infections","Both",0,1,"087"
"ID_088","Sexually transmitted disease","01","Infections","Both",0,1,"088"
"ID_089","Infections","01","Infections","Both",0,0,"089"
"ID_089.1","Bacterial infections","01","Infections","Both",0,1,"089.1"
"ID_089.2","Viral infections","01","Infections","Both",0,1,"089.2"
"ID_089.3","Fungal infections","01","Infections","Both",0,1,"089.3"
"ID_091","Gangrene","01","Infections","Both",0,1,"091"
"ID_092","Bacteremia, Sepsis, and SIRS","01","Infections","Both",0,0,"092"
"ID_092.1","Systemic inflammatory response syndrome","01","Infections","Both",0,1,"092.1"
"ID_092.2","Sepsis","01","Infections","Both",0,1,"092.2"
"ID_092.3","Meningococcemia","01","Infections","Both",0,1,"092.3"
"ID_092.5","Toxic shock syndrome","01","Infections","Both",0,1,"092.5"
"ID_092.8","Bacteremia","01","Infections","Both",0,1,"092.8"
"ID_097","Drug resistant microorganisms","01","Infections","Both",0,0,"097"
"ID_097.1","Methicillin resistant Staphylococcus aureus","01","Infections","Both",0,1,"097.1"
"ID_097.2","Resistance to penicillins","01","Infections","Both",0,1,"097.2"
"ID_097.3","Resistance to beta lactam antibiotics","01","Infections","Both",0,1,"097.3"
"CA_100","Malignant neoplasm of the head and neck","02","Neoplasms","Both",0,0,100
"CA_100.1","Malignant neoplasm of the oral cavity","02","Neoplasms","Both",0,0,100.1
"CA_100.12","Malignant neoplasm of the tongue","02","Neoplasms","Both",0,1,100.12
"CA_100.13","Malignant neoplasm of the gums","02","Neoplasms","Both",0,1,100.13
"CA_100.14","Malignant neoplasm of the floor of mouth","02","Neoplasms","Both",0,1,100.14
"CA_100.15","Malignant neoplasm of the palate","02","Neoplasms","Both",0,1,100.15
"CA_100.2","Malignant neoplasm of the oropharynx","02","Neoplasms","Both",0,1,100.2
"CA_100.3","Malignant neoplasm of the nasopharynx","02","Neoplasms","Both",0,1,100.3
"CA_100.4","Malignant neoplasm of the hypopharynx","02","Neoplasms","Both",0,1,100.4
"CA_100.5","Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses","02","Neoplasms","Both",0,1,100.5
"CA_100.6","Malignant neoplasm of the larynx","02","Neoplasms","Both",0,1,100.6
"CA_100.7","Malignant neoplasm of the pharynx","02","Neoplasms","Both",0,1,100.7
"CA_100.8","Malignant neoplasm of the lip","02","Neoplasms","Both",0,1,100.8
"CA_100.9","Malignant neoplasm of the salivary glands","02","Neoplasms","Both",0,1,100.9
"CA_101","Malignant neoplasm of the digestive organs","02","Neoplasms","Both",0,0,101
"CA_101.1","Malignant neoplasm of the esophagus","02","Neoplasms","Both",0,1,101.1
"CA_101.2","Malignant neoplasm of stomach","02","Neoplasms","Both",0,0,101.2
"CA_101.21","Malignant neoplasm of cardia","02","Neoplasms","Both",0,1,101.21
"CA_101.3","Malignant neoplasm of the small intestine","02","Neoplasms","Both",0,1,101.3
"CA_101.4","Malignant neoplasm of the lower GI tract","02","Neoplasms","Both",0,0,101.4
"CA_101.41","Colorectal cancer","02","Neoplasms","Both",0,0,101.41
"CA_101.411","Malignant neoplasm of colon","02","Neoplasms","Both",0,1,101.411
"CA_101.412","Malignant neoplasm of appendix","02","Neoplasms","Both",0,1,101.412
"CA_101.42","Malignant neoplasm of anus","02","Neoplasms","Both",0,1,101.42
"CA_101.6","Malignant neoplasm of the liver and intrahepatic bile ducts","02","Neoplasms","Both",0,0,101.6
"CA_101.61","Malignant neoplasm of the liver","02","Neoplasms","Both",0,1,101.61
"CA_101.62","Malignant neoplasm of the intrahepatic bile ducts","02","Neoplasms","Both",0,1,101.62
"CA_101.7","Malignant neoplasm of the gallbladder and extrahepatic bile ducts","02","Neoplasms","Both",0,0,101.7
"CA_101.71","Malignant neoplasm of the gallbladder","02","Neoplasms","Both",0,1,101.71
"CA_101.8","Malignant neoplasm of the pancreas","02","Neoplasms","Both",0,1,101.8
"CA_102","Malignant neoplasm of the thoracic and respiratory organs","02","Neoplasms","Both",0,0,102
"CA_102.1","Malignant neoplasm of the of bronchus and lung","02","Neoplasms","Both",0,1,102.1
"CA_102.3","Malignant neoplasm of the trachea","02","Neoplasms","Both",0,1,102.3
"CA_102.5","Malignant neoplasm of the heart, mediastinum, thymus, and pleura","02","Neoplasms","Both",0,0,102.5
"CA_102.51","Malignant neoplasm of the heart","02","Neoplasms","Both",0,1,102.51
"CA_102.52","Malignant neoplasm of the mediastinum","02","Neoplasms","Both",0,1,102.52
"CA_102.53","Malignant neoplasm of the of pleura","02","Neoplasms","Both",0,1,102.53
"CA_102.54","Malignant neoplasm of the thymus","02","Neoplasms","Both",0,1,102.54
"CA_103","Malignant neoplasm of the skin","02","Neoplasms","Both",0,0,103
"CA_103.1","Melanomas of skin","02","Neoplasms","Both",0,1,103.1
"CA_103.2","Keratinocyte carcinoma","02","Neoplasms","Both",0,0,103.2
"CA_103.21","Basal cell carcinoma","02","Neoplasms","Both",0,1,103.21
"CA_103.22","Squamous cell carcinoma of the skin","02","Neoplasms","Both",0,1,103.22
"CA_103.3","Carcinoma in situ of skin","02","Neoplasms","Both",0,1,103.3
"CA_104","Malignant sarcoma-related cancers","02","Neoplasms","Both",0,0,104
"CA_104.1","Malignant neoplam of the bone and/or cartilage","02","Neoplasms","Both",0,1,104.1
"CA_104.2","Malignant neoplasm of retroperitoneum and peritoneum","02","Neoplasms","Both",0,1,104.2
"CA_104.3","Malignant neoplasm of connective and soft tissue","02","Neoplasms","Both",0,1,104.3
"CA_104.4","Malignant neoplasm of peripheral nerves*","02","Neoplasms","Both",1,1,104.4
"CA_104.5","Gastrointestinal stromal tumor*","02","Neoplasms","Both",1,1,104.5
"CA_104.6","Kaposi's sarcoma","02","Neoplasms","Both",0,1,104.6
"CA_105","Malignant neoplasm of the breast","02","Neoplasms","Both",0,0,105
"CA_105.1","Malignant neoplasm of the breast, female","02","Neoplasms","Female",0,1,105.1
"CA_105.2","Malignant neoplasm of the breast, male","02","Neoplasms","Male",0,1,105.2
"CA_106","Gynecological malignant neoplasms","02","Neoplasms","Female",0,0,106
"CA_106.1","Malignant neoplasm of external female genital organs and cervix","02","Neoplasms","Female",0,0,106.1
"CA_106.11","Malignant neoplasm of the vulva","02","Neoplasms","Female",0,1,106.11
"CA_106.12","Malignant neoplasm of the vagina","02","Neoplasms","Female",0,1,106.12
"CA_106.13","Malignant neoplasm of the cervix","02","Neoplasms","Female",0,1,106.13
"CA_106.2","Malignant neoplasm of the uterus","02","Neoplasms","Female",0,0,106.2
"CA_106.21","Malignant neoplasm of endometrium","02","Neoplasms","Female",0,1,106.21
"CA_106.3","Malignant neoplasm of the ovary","02","Neoplasms","Female",0,1,106.3
"CA_106.4","Malignant neoplasm of the fallopian tube and uterine adnexa","02","Neoplasms","Female",0,1,106.4
"CA_106.6","Malignant neoplasm of the placenta","02","Neoplasms","Female",0,1,106.6
"CA_107","Malignant neoplasm of male genitalia","02","Neoplasms","Male",0,0,107
"CA_107.1","Malignant neoplasm of the penis","02","Neoplasms","Male",0,1,107.1
"CA_107.2","Malignant neoplasm of the prostate","02","Neoplasms","Male",0,1,107.2
"CA_107.3","Malignant neoplasm of the testis","02","Neoplasms","Male",0,1,107.3
"CA_107.4","Malignant neoplasm of epididymis","02","Neoplasms","Male",0,1,107.4
"CA_107.5","Malignant neoplasm of spermatic cord","02","Neoplasms","Male",0,1,107.5
"CA_107.6","Malignant neoplasm of the scrotum","02","Neoplasms","Male",0,1,107.6
"CA_108","Malignant neoplasm of the urinary tract","02","Neoplasms","Both",0,0,108
"CA_108.4","Malignant neoplasm of the kidney","02","Neoplasms","Both",0,0,108.4
"CA_108.41","Malignant neoplasm of kidney, except pelvis","02","Neoplasms","Both",0,1,108.41
"CA_108.42","Malignant neoplasm of renal pelvis","02","Neoplasms","Both",0,1,108.42
"CA_108.5","Malignant neoplasm of the bladder","02","Neoplasms","Both",0,1,108.5
"CA_108.6","Malignant neoplasm of urethra","02","Neoplasms","Both",0,1,108.6
"CA_108.7","Malignant neoplasm of ureter","02","Neoplasms","Both",0,1,108.7
"CA_109","Malignant neoplasm of the eye, brain and other parts of central nervous system","02","Neoplasms","Both",0,0,109
"CA_109.1","Malignant neoplasm of eye","02","Neoplasms","Both",0,0,109.1
"CA_109.11","Malignant neoplasm of orbit","02","Neoplasms","Both",0,1,109.11
"CA_109.12","Malignant neoplasm of lacrimal gland and duct","02","Neoplasms","Both",0,1,109.12
"CA_109.13","Malignant neoplasm of conjunctiva","02","Neoplasms","Both",0,1,109.13
"CA_109.14","Malignant neoplasm of cornea","02","Neoplasms","Both",0,1,109.14
"CA_109.15","Malignant neoplasm of retina","02","Neoplasms","Both",0,1,109.15
"CA_109.16","Malignant neoplasm of choroid","02","Neoplasms","Both",0,1,109.16
"CA_109.2","Malignant neoplasm of meninges","02","Neoplasms","Both",0,1,109.2
"CA_109.3","Malignant neoplasm of brain","02","Neoplasms","Both",0,1,109.3
"CA_109.4","Malignant neoplasm of spinal cord","02","Neoplasms","Both",0,1,109.4
"CA_109.5","Malignant neoplasm of cranial nerve","02","Neoplasms","Both",0,1,109.5
"CA_110","Malignant neoplasm of the endocrine glands","02","Neoplasms","Both",0,0,110
"CA_110.1","Malignant neoplasm of the thyroid","02","Neoplasms","Both",0,1,110.1
"CA_110.3","Malignant neoplasm of the parathyroid gland","02","Neoplasms","Both",0,1,110.3
"CA_110.4","Malignant neoplasm of the pituitary gland and craniopharyngeal duct","02","Neoplasms","Both",0,1,110.4
"CA_110.5","Malignant neoplasm of the pineal gland","02","Neoplasms","Both",0,1,110.5
"CA_112","Malignant neoplasm of other and ill-defined sites","02","Neoplasms","Both",0,0,112
"CA_112.1","Mesothelioma*","02","Neoplasms","Both",1,1,112.1
"CA_114","Neuroendocrine tumors","02","Neoplasms","Both",0,0,114
"CA_114.1","Malignant neuroendocrine tumors","02","Neoplasms","Both",0,0,114.1
"CA_114.11","Exocrine pancreatic cancer","02","Neoplasms","Both",0,1,114.11
"CA_114.12","Merkel cell carcinoma","02","Neoplasms","Both",0,1,114.12
"CA_114.2","Benign neuroendocrine tumors","02","Neoplasms","Both",0,1,114.2
"CA_114.4","Carcinoid tumors","02","Neoplasms","Both",0,0,114.4
"CA_114.41","Intestinal carcinoid","02","Neoplasms","Both",0,1,114.41
"CA_114.42","Carcinoid tumor of the bronchus and lung","02","Neoplasms","Both",0,1,114.42
"CA_114.43","Carcinoid tumor of the thymus","02","Neoplasms","Both",0,1,114.43
"CA_114.44","Carcinoid tumor of the stomach","02","Neoplasms","Both",0,1,114.44
"CA_114.45","Carcinoid tumor of the kidney","02","Neoplasms","Both",0,1,114.45
"CA_114.5","Paraganglioma","02","Neoplasms","Both",0,1,114.5
"CA_114.6","Pheochromocytoma","02","Neoplasms","Both",0,1,114.6
"CA_116","Secondary malignant neoplasm","02","Neoplasms","Both",0,1,116
"CA_120","Hemo onc - by cell of origin","02","Neoplasms","Both",0,0,120
"CA_120.1","Myeloid","02","Neoplasms","Both",0,0,120.1
"CA_120.11","Plasma cell","02","Neoplasms","Both",0,1,120.11
"CA_120.12","Monocyte","02","Neoplasms","Both",0,1,120.12
"CA_120.13","Erythroid","02","Neoplasms","Both",0,1,120.13
"CA_120.14","Megakaryoblast","02","Neoplasms","Both",0,1,120.14
"CA_120.15","Mast cell","02","Neoplasms","Both",0,1,120.15
"CA_120.2","Lymphoid","02","Neoplasms","Both",0,0,120.2
"CA_120.21","Mature B-cell","02","Neoplasms","Both",0,1,120.21
"CA_120.22","Mature T-Cell","02","Neoplasms","Both",0,1,120.22
"CA_120.3","Histocytoces","02","Neoplasms","Both",0,1,120.3
"CA_121","Leukemia","02","Neoplasms","Both",0,0,121
"CA_121.1","Acute leukemia","02","Neoplasms","Both",0,0,121.1
"CA_121.11","Acute lymphoid leukemia","02","Neoplasms","Both",0,1,121.11
"CA_121.12","Acute myeloid leukemia","02","Neoplasms","Both",0,1,121.12
"CA_121.2","Chronic leukemia","02","Neoplasms","Both",0,0,121.2
"CA_121.21","Chronic lymphoid leukemia","02","Neoplasms","Both",0,1,121.21
"CA_121.22","Chronic myloid leukemia","02","Neoplasms","Both",0,1,121.22
"CA_121.23","Chronic myelomonocytic (monocytic) leukemia","02","Neoplasms","Both",0,1,121.23
"CA_122","Lymphoma","02","Neoplasms","Both",0,0,122
"CA_122.1","Hodgkin lymphoma","02","Neoplasms","Both",0,0,122.1
"CA_122.11","Nodular sclerosis Hodgkin lymphoma","02","Neoplasms","Both",0,1,122.11
"CA_122.2","Non-Hodgkin lymphoma","02","Neoplasms","Both",0,0,122.2
"CA_122.21","Follicular lymphoma","02","Neoplasms","Both",0,1,122.21
"CA_122.22","Diffuse large B-cell lymphoma*","02","Neoplasms","Both",1,1,122.22
"CA_122.23","Burkitt lymphoma","02","Neoplasms","Both",0,1,122.23
"CA_122.24","T-cell lymphoma","02","Neoplasms","Both",0,1,122.24
"CA_122.25","Anaplastic large cell lymphoma","02","Neoplasms","Both",0,1,122.25
"CA_122.26","Extranodal NK/T-cell lymphoma, nasal type*","02","Neoplasms","Both",1,1,122.26
"CA_123","Multiple myeloma and malignant plasma cell neoplasms","02","Neoplasms","Both",0,0,123
"CA_123.1","Multiple myeloma","02","Neoplasms","Both",0,1,123.1
"CA_124","Myeloproliferative disorder","02","Neoplasms","Both",0,0,124
"CA_124.3","Polycythemia vera","02","Neoplasms","Both",0,1,124.3
"CA_124.5","Essential thrombocythemia","02","Neoplasms","Both",0,1,124.5
"CA_124.6","Myelodysplastic syndrome","02","Neoplasms","Both",0,1,124.6
"CA_124.7","Chronic myeloproliferative disease*","02","Neoplasms","Both",1,1,124.7
"CA_124.8","Myelofibrosis","02","Neoplasms","Both",0,1,124.8
"CA_125","Other malignant neoplasms of lymphoid, hematopoietic and related tissue","02","Neoplasms","Both",0,0,125
"CA_125.1","Cutaneous mastocytosis*","02","Neoplasms","Both",1,1,125.1
"CA_128","Estrogen receptor status","02","Neoplasms","Both",0,0,128
"CA_128.1","Estrogen receptor postitive status [ER+]","02","Neoplasms","Both",0,1,128.1
"CA_128.2","Estrogen receptor negative status [ER-]","02","Neoplasms","Both",0,1,128.2
"CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms","Both",0,1,130
"CA_132","Sequelae of cancer","02","Neoplasms","Both",0,1,132
"CA_135","Benign neoplasm of the head and neck","02","Neoplasms","Both",0,0,135
"CA_135.1","Benign neoplasm of the oral cavity","02","Neoplasms","Both",0,0,135.1
"CA_135.11","Benign neoplasm of the lip","02","Neoplasms","Both",0,1,135.11
"CA_135.12","Benign neoplasm of the tongue","02","Neoplasms","Both",0,1,135.12
"CA_135.14","Benign neoplasm of the floor of mouth","02","Neoplasms","Both",0,1,135.14
"CA_135.16","Benign neoplasm of the salivary glands","02","Neoplasms","Both",0,1,135.16
"CA_135.2","Benign neoplasm of the oropharynx","02","Neoplasms","Both",0,1,135.2
"CA_135.3","Benign neoplasm of the nasopharynx","02","Neoplasms","Both",0,1,135.3
"CA_135.4","Benign neoplasm of the hypopharynx","02","Neoplasms","Both",0,1,135.4
"CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms","Both",0,1,135.5
"CA_135.6","Benign neoplasm of vocal cord or larynx","02","Neoplasms","Both",0,1,135.6
"CA_136","Benign neoplasm of the digestive organs","02","Neoplasms","Both",0,0,136
"CA_136.1","Benign neoplasm of the esophagus","02","Neoplasms","Both",0,1,136.1
"CA_136.2","Benign neoplasm of stomach","02","Neoplasms","Both",0,1,136.2
"CA_136.3","Benign neoplasm of the small intestine","02","Neoplasms","Both",0,1,136.3
"CA_136.4","Benign neoplasm of colon, rectum, anus and anal canal","02","Neoplasms","Both",0,0,136.4
"CA_136.41","Benign neoplasm of the colon","02","Neoplasms","Both",0,1,136.41
"CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms","Both",0,1,136.42
"CA_136.6","Benign neoplasm of the liver and intrahepatic bile ducts","02","Neoplasms","Both",0,0,136.6
"CA_136.61","Benign neoplasm of the liver*","02","Neoplasms","Both",1,1,136.61
"CA_136.8","Benign neoplasm of the pancreas","02","Neoplasms","Both",0,1,136.8
"CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms","Both",0,0,137
"CA_137.1","Benign neoplasm of the of bronchus and lung","02","Neoplasms","Both",0,1,137.1
"CA_137.3","Benign neoplasm of the trachea","02","Neoplasms","Both",0,1,137.3
"CA_137.5","Benign neoplasm of the heart, mediastinum, thymus, and pleura","02","Neoplasms","Both",0,0,137.5
"CA_137.51","Benign neoplasm of the heart","02","Neoplasms","Both",0,1,137.51
"CA_137.52","Benign neoplasm of the mediastinum","02","Neoplasms","Both",0,1,137.52
"CA_137.53","Benign neoplasm of the of pleura","02","Neoplasms","Both",0,1,137.53
"CA_137.54","Benign neoplasm of the thymus","02","Neoplasms","Both",0,1,137.54
"CA_138","Benign neoplasm of the skin","02","Neoplasms","Both",0,0,138
"CA_138.1","Nevus, non-neoplastic","02","Neoplasms","Both",0,1,138.1
"CA_138.2","Melanocytic nevi*","02","Neoplasms","Both",1,1,138.2
"CA_139","Benign sarcoma-related cancers","02","Neoplasms","Both",0,0,139
"CA_139.1","Benign neoplams of the bone and/or cartilage","02","Neoplasms","Both",0,1,139.1
"CA_139.2","Benign neoplasm of retroperitoneum and peritoneum","02","Neoplasms","Both",0,1,139.2
"CA_139.3","Benign neoplasm of other connective and soft tissue","02","Neoplasms","Both",0,1,139.3
"CA_139.4","Benign neoplasm of peripheral nerves*","02","Neoplasms","Both",1,1,139.4
"CA_139.5","Lipoma","02","Neoplasms","Both",0,0,139.5
"CA_139.51","Lipomatosis*","02","Neoplasms","Both",1,1,139.51
"CA_139.52","Lipoma of intrathoracic organs","02","Neoplasms","Both",0,1,139.52
"CA_139.53","Lipoma of skin subcutaneous tissue","02","Neoplasms","Both",0,1,139.53
"CA_139.54","Testicular limpoma","02","Neoplasms","Male",0,1,139.54
"CA_139.6","Hemangioma and lymphangioma","02","Neoplasms","Both",0,0,139.6
"CA_139.61","Hemangioma","02","Neoplasms","Both",0,1,139.61
"CA_139.62","Lymphangioma","02","Neoplasms","Both",0,1,139.62
"CA_140","Benign neoplasm of the breast","02","Neoplasms","Both",0,1,140
"CA_142","Lump or mass in breast or nonspecific abnormal breast exam","02","Neoplasms","Both",0,0,142
